Index: 10, True: plane, LeNet: deer, ResLeNet: plane
Index: 828, True: dog, LeNet: deer, ResLeNet: dog
Index: 834, True: dog, LeNet: bird, ResLeNet: dog
Index: 837, True: bird, LeNet: dog, ResLeNet: bird
Index: 845, True: cat, LeNet: plane, ResLeNet: cat
Index: 846, True: bird, LeNet: deer, ResLeNet: bird
Index: 850, True: horse, LeNet: dog, ResLeNet: horse
Index: 862, True: cat, LeNet: frog, ResLeNet: cat
Index: 867, True: horse, LeNet: dog, ResLeNet: horse
Index: 874, True: cat, LeNet: dog, ResLeNet: cat
Index: 878, True: cat, LeNet: bird, ResLeNet: cat
Index: 881, True: deer, LeNet: cat, ResLeNet: deer
Index: 883, True: plane, LeNet: car, ResLeNet: plane
Index: 886, True: plane, LeNet: truck, ResLeNet: plane
Index: 892, True: horse, LeNet: deer, ResLeNet: horse
Index: 904, True: ship, LeNet: deer, ResLeNet: ship
Index: 905, True: horse, LeNet: cat, ResLeNet: horse
Index: 910, True: dog, LeNet: cat, ResLeNet: dog
Index: 920, True: frog, LeNet: bird, ResLeNet: frog
Index: 927, True: frog, LeNet: truck, ResLeNet: frog
Index: 936, True: bird, LeNet: cat, ResLeNet: bird
Index: 938, True: truck, LeNet: car, ResLeNet: truck
Index: 941, True: car, LeNet: truck, ResLeNet: car
Index: 956, True: plane, LeNet: ship, ResLeNet: plane
Index: 957, True: cat, LeNet: frog, ResLeNet: cat
Index: 965, True: frog, LeNet: cat, ResLeNet: frog
Index: 966, True: frog, LeNet: cat, ResLeNet: frog
Index: 980, True: bird, LeNet: frog, ResLeNet: bird
Index: 986, True: cat, LeNet: dog, ResLeNet: cat
Index: 995, True: cat, LeNet: bird, ResLeNet: cat
Index: 1007, True: ship, LeNet: plane, ResLeNet: ship
Index: 1023, True: plane, LeNet: car, ResLeNet: plane
Index: 1032, True: frog, LeNet: deer, ResLeNet: frog
Index: 1045, True: dog, LeNet: cat, ResLeNet: dog
Index: 1047, True: car, LeNet: ship, ResLeNet: car
Index: 1051, True: bird, LeNet: dog, ResLeNet: bird
Index: 1053, True: cat, LeNet: dog, ResLeNet: cat
Index: 1057, True: horse, LeNet: truck, ResLeNet: horse
Index: 1064, True: truck, LeNet: cat, ResLeNet: truck
Index: 1065, True: cat, LeNet: plane, ResLeNet: cat
Index: 1082, True: truck, LeNet: car, ResLeNet: truck
Index: 1084, True: dog, LeNet: cat, ResLeNet: dog
Index: 1088, True: cat, LeNet: dog, ResLeNet: cat
Index: 1093, True: plane, LeNet: deer, ResLeNet: plane
Index: 1094, True: frog, LeNet: cat, ResLeNet: frog
Index: 1100, True: horse, LeNet: ship, ResLeNet: horse
Index: 1105, True: deer, LeNet: cat, ResLeNet: deer
Index: 1106, True: truck, LeNet: car, ResLeNet: truck
Index: 1112, True: cat, LeNet: deer, ResLeNet: cat
Index: 1116, True: dog, LeNet: frog, ResLeNet: dog
Index: 1120, True: dog, LeNet: bird, ResLeNet: dog
Index: 1124, True: cat, LeNet: bird, ResLeNet: cat
Index: 1128, True: deer, LeNet: dog, ResLeNet: deer
Index: 1134, True: car, LeNet: ship, ResLeNet: car
Index: 1137, True: plane, LeNet: truck, ResLeNet: plane
Index: 1145, True: deer, LeNet: frog, ResLeNet: deer
Index: 1149, True: horse, LeNet: dog, ResLeNet: horse
Index: 1159, True: ship, LeNet: truck, ResLeNet: ship
Index: 1163, True: cat, LeNet: dog, ResLeNet: cat
Index: 1167, True: deer, LeNet: truck, ResLeNet: deer
Index: 1184, True: frog, LeNet: cat, ResLeNet: frog
Index: 1185, True: car, LeNet: truck, ResLeNet: car
Index: 1199, True: truck, LeNet: car, ResLeNet: truck
Index: 1200, True: ship, LeNet: plane, ResLeNet: ship
Index: 1207, True: deer, LeNet: plane, ResLeNet: deer
Index: 1208, True: cat, LeNet: ship, ResLeNet: cat
Index: 1212, True: car, LeNet: deer, ResLeNet: car
Index: 1220, True: truck, LeNet: cat, ResLeNet: truck
Index: 1222, True: truck, LeNet: car, ResLeNet: truck
Index: 1223, True: ship, LeNet: plane, ResLeNet: ship
Index: 1227, True: cat, LeNet: dog, ResLeNet: cat
Index: 1236, True: horse, LeNet: plane, ResLeNet: horse
Index: 1239, True: dog, LeNet: cat, ResLeNet: dog
Index: 1240, True: bird, LeNet: frog, ResLeNet: bird
Index: 1242, True: ship, LeNet: car, ResLeNet: ship
Index: 1246, True: horse, LeNet: dog, ResLeNet: horse
Index: 1250, True: horse, LeNet: cat, ResLeNet: horse
Index: 1251, True: bird, LeNet: horse, ResLeNet: bird
Index: 1253, True: ship, LeNet: car, ResLeNet: ship
Index: 1256, True: truck, LeNet: ship, ResLeNet: truck
Index: 1266, True: plane, LeNet: ship, ResLeNet: plane
Index: 1268, True: cat, LeNet: bird, ResLeNet: cat
Index: 1275, True: cat, LeNet: dog, ResLeNet: cat
Index: 1276, True: dog, LeNet: car, ResLeNet: dog
Index: 1279, True: ship, LeNet: truck, ResLeNet: ship
Index: 1284, True: ship, LeNet: car, ResLeNet: ship
Index: 1286, True: ship, LeNet: plane, ResLeNet: ship
Index: 1293, True: deer, LeNet: frog, ResLeNet: deer
Index: 1294, True: ship, LeNet: plane, ResLeNet: ship
Index: 1297, True: bird, LeNet: plane, ResLeNet: bird
Index: 1299, True: horse, LeNet: plane, ResLeNet: horse
Index: 1304, True: deer, LeNet: ship, ResLeNet: deer
Index: 1308, True: dog, LeNet: deer, ResLeNet: dog
Index: 1309, True: frog, LeNet: bird, ResLeNet: frog
Index: 1315, True: deer, LeNet: bird, ResLeNet: deer
Index: 1321, True: bird, LeNet: cat, ResLeNet: bird
Index: 1330, True: bird, LeNet: horse, ResLeNet: bird
Index: 1337, True: dog, LeNet: cat, ResLeNet: dog
Index: 1356, True: bird, LeNet: cat, ResLeNet: bird
Index: 1369, True: ship, LeNet: plane, ResLeNet: ship
Index: 1377, True: cat, LeNet: deer, ResLeNet: cat
Index: 1379, True: horse, LeNet: deer, ResLeNet: horse
Index: 1381, True: frog, LeNet: truck, ResLeNet: frog
Index: 1382, True: bird, LeNet: plane, ResLeNet: bird
Index: 1388, True: dog, LeNet: deer, ResLeNet: dog
Index: 1389, True: dog, LeNet: deer, ResLeNet: dog
Index: 1393, True: deer, LeNet: cat, ResLeNet: deer
Index: 1398, True: horse, LeNet: plane, ResLeNet: horse
Index: 1400, True: dog, LeNet: cat, ResLeNet: dog
Index: 1405, True: car, LeNet: truck, ResLeNet: car
Index: 1410, True: car, LeNet: bird, ResLeNet: car
Index: 1411, True: cat, LeNet: truck, ResLeNet: cat
Index: 1416, True: cat, LeNet: dog, ResLeNet: cat
Index: 1418, True: frog, LeNet: bird, ResLeNet: frog
Index: 1420, True: deer, LeNet: horse, ResLeNet: deer
Index: 1424, True: truck, LeNet: car, ResLeNet: truck
Index: 1425, True: deer, LeNet: cat, ResLeNet: deer
Index: 1428, True: horse, LeNet: deer, ResLeNet: horse
Index: 1433, True: horse, LeNet: dog, ResLeNet: horse
Index: 1440, True: plane, LeNet: ship, ResLeNet: plane
Index: 1445, True: cat, LeNet: deer, ResLeNet: cat
Index: 1451, True: bird, LeNet: deer, ResLeNet: bird
Index: 1453, True: dog, LeNet: frog, ResLeNet: dog
Index: 1468, True: cat, LeNet: dog, ResLeNet: cat
Index: 1469, True: horse, LeNet: dog, ResLeNet: horse
Index: 1471, True: ship, LeNet: plane, ResLeNet: ship
Index: 1474, True: cat, LeNet: horse, ResLeNet: cat
Index: 1480, True: car, LeNet: ship, ResLeNet: car
Index: 1485, True: plane, LeNet: truck, ResLeNet: plane
Index: 1489, True: frog, LeNet: bird, ResLeNet: frog
Index: 1501, True: bird, LeNet: cat, ResLeNet: bird
Index: 1503, True: deer, LeNet: dog, ResLeNet: deer
Index: 1521, True: horse, LeNet: bird, ResLeNet: horse
Index: 1530, True: cat, LeNet: truck, ResLeNet: cat
Index: 1531, True: horse, LeNet: deer, ResLeNet: horse
Index: 1536, True: dog, LeNet: bird, ResLeNet: dog
Index: 1537, True: deer, LeNet: horse, ResLeNet: deer
Index: 1538, True: cat, LeNet: bird, ResLeNet: cat
Index: 1541, True: deer, LeNet: bird, ResLeNet: deer
Index: 1547, True: bird, LeNet: plane, ResLeNet: bird
Index: 1549, True: car, LeNet: horse, ResLeNet: car
Index: 1552, True: cat, LeNet: dog, ResLeNet: cat
Index: 1556, True: ship, LeNet: cat, ResLeNet: ship
Index: 1568, True: plane, LeNet: truck, ResLeNet: plane
Index: 1570, True: deer, LeNet: horse, ResLeNet: deer
Index: 1572, True: frog, LeNet: cat, ResLeNet: frog
Index: 1573, True: plane, LeNet: truck, ResLeNet: plane
Index: 1574, True: plane, LeNet: truck, ResLeNet: plane
Index: 1580, True: frog, LeNet: cat, ResLeNet: frog
Index: 1585, True: horse, LeNet: dog, ResLeNet: horse
Index: 1593, True: cat, LeNet: deer, ResLeNet: cat
Index: 1607, True: cat, LeNet: truck, ResLeNet: cat
Index: 1615, True: horse, LeNet: cat, ResLeNet: horse
Index: 1622, True: deer, LeNet: bird, ResLeNet: deer
Index: 1623, True: bird, LeNet: deer, ResLeNet: bird
Index: 1628, True: deer, LeNet: horse, ResLeNet: deer
Index: 1640, True: horse, LeNet: truck, ResLeNet: horse
Index: 1641, True: frog, LeNet: truck, ResLeNet: frog
Index: 1649, True: dog, LeNet: frog, ResLeNet: dog
Index: 1660, True: cat, LeNet: deer, ResLeNet: cat
Index: 1683, True: ship, LeNet: plane, ResLeNet: ship
Index: 1690, True: bird, LeNet: deer, ResLeNet: bird
Index: 1696, True: deer, LeNet: plane, ResLeNet: deer
Index: 1704, True: cat, LeNet: plane, ResLeNet: cat
Index: 1708, True: horse, LeNet: dog, ResLeNet: horse
Index: 1709, True: bird, LeNet: frog, ResLeNet: bird
Index: 1713, True: ship, LeNet: truck, ResLeNet: ship
Index: 1721, True: ship, LeNet: truck, ResLeNet: ship
Index: 1723, True: bird, LeNet: cat, ResLeNet: bird
Index: 1730, True: deer, LeNet: ship, ResLeNet: deer
Index: 1735, True: plane, LeNet: bird, ResLeNet: plane
Index: 1736, True: dog, LeNet: frog, ResLeNet: dog
Index: 1737, True: frog, LeNet: horse, ResLeNet: frog
Index: 1739, True: plane, LeNet: ship, ResLeNet: plane
Index: 1747, True: car, LeNet: truck, ResLeNet: car
Index: 1754, True: horse, LeNet: truck, ResLeNet: horse
Index: 1756, True: bird, LeNet: plane, ResLeNet: bird
Index: 1763, True: bird, LeNet: ship, ResLeNet: bird
Index: 1765, True: deer, LeNet: dog, ResLeNet: deer
Index: 1768, True: bird, LeNet: plane, ResLeNet: bird
Index: 1770, True: horse, LeNet: deer, ResLeNet: horse
Index: 1773, True: dog, LeNet: cat, ResLeNet: dog
Index: 1775, True: cat, LeNet: frog, ResLeNet: cat
Index: 1787, True: cat, LeNet: horse, ResLeNet: cat
Index: 1788, True: cat, LeNet: frog, ResLeNet: cat
Index: 1789, True: plane, LeNet: deer, ResLeNet: plane
Index: 1796, True: plane, LeNet: ship, ResLeNet: plane
Index: 1800, True: deer, LeNet: ship, ResLeNet: deer
Index: 1804, True: dog, LeNet: plane, ResLeNet: dog
Index: 1813, True: cat, LeNet: bird, ResLeNet: cat
Index: 1814, True: truck, LeNet: car, ResLeNet: truck
Index: 1816, True: horse, LeNet: plane, ResLeNet: horse
Index: 1818, True: dog, LeNet: cat, ResLeNet: dog
Index: 1820, True: ship, LeNet: car, ResLeNet: ship
Index: 1822, True: horse, LeNet: bird, ResLeNet: horse
Index: 1828, True: horse, LeNet: dog, ResLeNet: horse
Index: 1829, True: car, LeNet: truck, ResLeNet: car
Index: 1831, True: truck, LeNet: car, ResLeNet: truck
Index: 1838, True: frog, LeNet: ship, ResLeNet: frog
Index: 1840, True: ship, LeNet: cat, ResLeNet: ship
Index: 1841, True: truck, LeNet: ship, ResLeNet: truck
Index: 1863, True: dog, LeNet: frog, ResLeNet: dog
Index: 1872, True: dog, LeNet: cat, ResLeNet: dog
Index: 1884, True: horse, LeNet: deer, ResLeNet: horse
Index: 1887, True: cat, LeNet: deer, ResLeNet: cat
Index: 1890, True: frog, LeNet: deer, ResLeNet: frog
Index: 1905, True: cat, LeNet: frog, ResLeNet: cat
Index: 1906, True: truck, LeNet: cat, ResLeNet: truck
Index: 1909, True: cat, LeNet: truck, ResLeNet: cat
Index: 1918, True: bird, LeNet: horse, ResLeNet: bird
Index: 1921, True: bird, LeNet: plane, ResLeNet: bird
Index: 1927, True: truck, LeNet: car, ResLeNet: truck
Index: 1928, True: deer, LeNet: car, ResLeNet: deer
Index: 1930, True: car, LeNet: truck, ResLeNet: car
Index: 1932, True: plane, LeNet: bird, ResLeNet: plane
Index: 1933, True: cat, LeNet: dog, ResLeNet: cat
Index: 1936, True: cat, LeNet: truck, ResLeNet: cat
Index: 1940, True: dog, LeNet: cat, ResLeNet: dog
Index: 1941, True: horse, LeNet: bird, ResLeNet: horse
Index: 1944, True: deer, LeNet: dog, ResLeNet: deer
Index: 1954, True: bird, LeNet: deer, ResLeNet: bird
Index: 1960, True: bird, LeNet: cat, ResLeNet: bird
Index: 1964, True: cat, LeNet: dog, ResLeNet: cat
Index: 1976, True: dog, LeNet: cat, ResLeNet: dog
Index: 1977, True: dog, LeNet: deer, ResLeNet: dog
Index: 1985, True: frog, LeNet: bird, ResLeNet: frog
Index: 1986, True: deer, LeNet: bird, ResLeNet: deer
Index: 1989, True: frog, LeNet: deer, ResLeNet: frog
Index: 1993, True: cat, LeNet: bird, ResLeNet: cat
Index: 2003, True: dog, LeNet: frog, ResLeNet: dog
Index: 2010, True: horse, LeNet: cat, ResLeNet: horse
Index: 2013, True: frog, LeNet: deer, ResLeNet: frog
Index: 2014, True: ship, LeNet: plane, ResLeNet: ship
Index: 2015, True: deer, LeNet: frog, ResLeNet: deer
Index: 2016, True: frog, LeNet: deer, ResLeNet: frog
Index: 2022, True: dog, LeNet: frog, ResLeNet: dog
Index: 2026, True: dog, LeNet: bird, ResLeNet: dog
Index: 2027, True: truck, LeNet: cat, ResLeNet: truck
Index: 2029, True: cat, LeNet: deer, ResLeNet: cat
Index: 2039, True: ship, LeNet: car, ResLeNet: ship
Index: 2044, True: cat, LeNet: dog, ResLeNet: cat
Index: 2054, True: cat, LeNet: dog, ResLeNet: cat
Index: 2058, True: plane, LeNet: car, ResLeNet: plane
Index: 2062, True: horse, LeNet: deer, ResLeNet: horse
Index: 2065, True: bird, LeNet: deer, ResLeNet: bird
Index: 2069, True: deer, LeNet: plane, ResLeNet: deer
Index: 2076, True: cat, LeNet: deer, ResLeNet: cat
Index: 2085, True: plane, LeNet: bird, ResLeNet: plane
Index: 2095, True: plane, LeNet: deer, ResLeNet: plane
Index: 2117, True: horse, LeNet: truck, ResLeNet: horse
Index: 2121, True: frog, LeNet: plane, ResLeNet: frog
Index: 2125, True: car, LeNet: plane, ResLeNet: car
Index: 2144, True: cat, LeNet: bird, ResLeNet: cat
Index: 2147, True: horse, LeNet: truck, ResLeNet: horse
Index: 2155, True: truck, LeNet: ship, ResLeNet: truck
Index: 2171, True: bird, LeNet: cat, ResLeNet: bird
Index: 2173, True: cat, LeNet: frog, ResLeNet: cat
Index: 2178, True: cat, LeNet: truck, ResLeNet: cat
Index: 2186, True: truck, LeNet: ship, ResLeNet: truck
Index: 2190, True: truck, LeNet: car, ResLeNet: truck
Index: 2193, True: bird, LeNet: plane, ResLeNet: bird
Index: 2195, True: deer, LeNet: cat, ResLeNet: deer
Index: 2207, True: cat, LeNet: frog, ResLeNet: cat
Index: 2216, True: bird, LeNet: dog, ResLeNet: bird
Index: 2234, True: horse, LeNet: deer, ResLeNet: horse
Index: 2246, True: truck, LeNet: frog, ResLeNet: truck
Index: 2250, True: horse, LeNet: truck, ResLeNet: horse
Index: 2253, True: cat, LeNet: bird, ResLeNet: cat
Index: 2261, True: cat, LeNet: frog, ResLeNet: cat
Index: 2264, True: plane, LeNet: truck, ResLeNet: plane
Index: 2267, True: frog, LeNet: cat, ResLeNet: frog
Index: 2268, True: cat, LeNet: frog, ResLeNet: cat
Index: 2271, True: truck, LeNet: plane, ResLeNet: truck
Index: 2273, True: dog, LeNet: cat, ResLeNet: dog
Index: 2276, True: plane, LeNet: car, ResLeNet: plane
Index: 2285, True: cat, LeNet: dog, ResLeNet: cat
Index: 2288, True: dog, LeNet: bird, ResLeNet: dog
Index: 2292, True: dog, LeNet: cat, ResLeNet: dog
Index: 2294, True: car, LeNet: truck, ResLeNet: car
Index: 2301, True: bird, LeNet: cat, ResLeNet: bird
Index: 2305, True: truck, LeNet: bird, ResLeNet: truck
Index: 2311, True: horse, LeNet: deer, ResLeNet: horse
Index: 2316, True: dog, LeNet: car, ResLeNet: dog
Index: 2320, True: dog, LeNet: cat, ResLeNet: dog
Index: 2329, True: deer, LeNet: frog, ResLeNet: deer
Index: 2344, True: plane, LeNet: cat, ResLeNet: plane
Index: 2348, True: deer, LeNet: cat, ResLeNet: deer
Index: 2350, True: cat, LeNet: dog, ResLeNet: cat
Index: 2352, True: bird, LeNet: horse, ResLeNet: bird
Index: 2354, True: ship, LeNet: car, ResLeNet: ship
Index: 2355, True: truck, LeNet: car, ResLeNet: truck
Index: 2360, True: horse, LeNet: dog, ResLeNet: horse
Index: 2365, True: horse, LeNet: dog, ResLeNet: horse
Index: 2376, True: horse, LeNet: truck, ResLeNet: horse
Index: 2377, True: frog, LeNet: deer, ResLeNet: frog
Index: 2383, True: bird, LeNet: deer, ResLeNet: bird
Index: 2386, True: deer, LeNet: dog, ResLeNet: deer
Index: 2390, True: car, LeNet: horse, ResLeNet: car
Index: 2392, True: dog, LeNet: bird, ResLeNet: dog
Index: 2397, True: dog, LeNet: cat, ResLeNet: dog
Index: 2413, True: deer, LeNet: frog, ResLeNet: deer
Index: 2416, True: frog, LeNet: truck, ResLeNet: frog
Index: 2417, True: horse, LeNet: deer, ResLeNet: horse
Index: 2420, True: ship, LeNet: car, ResLeNet: ship
Index: 2421, True: ship, LeNet: truck, ResLeNet: ship
Index: 2427, True: dog, LeNet: cat, ResLeNet: dog
Index: 2434, True: plane, LeNet: car, ResLeNet: plane
Index: 2437, True: ship, LeNet: truck, ResLeNet: ship
Index: 2438, True: car, LeNet: plane, ResLeNet: car
Index: 2440, True: horse, LeNet: dog, ResLeNet: horse
Index: 2442, True: deer, LeNet: frog, ResLeNet: deer
Index: 2449, True: deer, LeNet: dog, ResLeNet: deer
Index: 2452, True: bird, LeNet: deer, ResLeNet: bird
Index: 2454, True: car, LeNet: ship, ResLeNet: car
Index: 2466, True: bird, LeNet: plane, ResLeNet: bird
Index: 2479, True: dog, LeNet: horse, ResLeNet: dog
Index: 2489, True: cat, LeNet: bird, ResLeNet: cat
Index: 2490, True: plane, LeNet: car, ResLeNet: plane
Index: 2491, True: truck, LeNet: plane, ResLeNet: truck
Index: 2499, True: frog, LeNet: bird, ResLeNet: frog
Index: 2503, True: ship, LeNet: truck, ResLeNet: ship
